CVE,DESCRIP
D619,"Anemia aplástica, sin otra especificación"
D62X,Anemia posthemorrágica aguda
D644,Anemia diseritropoyética congénita
D648,Otras anemias especificadas
D649,Anemia de tipo no especificado
D65X,Coagulación intravascular diseminada [síndrome de desfibrinación]
D66X,Deficiencia hereditaria del factor VIII
D67X,Deficiencia hereditaria del factor IX
D680,Enfermedad de von Willebrand
D682,Deficiencia hereditaria de otros factores de la coagulación
D683,Trastorno hemorrágico debido a anticoagulantes circulantes
D684,Deficiencia adquirida de factores de la coagulación
D685,Trombofilia primaria
D686,Otra trombofilia
D688,Otros defectos especificados de la coagulación
D689,"Defecto de la coagulación, no especificado"
D690,Púrpura alérgica
D691,Defecto cualitativos de las plaquetas
D692,Otras púrpuras no trombocitopénicas
D693,Púrpura trombocitopénica idiopática
D694,Otras trombocitopenias primarias
D695,Trombocitopenia secundaria
D696,Trombocitopenia no especificada
D698,Otras afecciones hemorrágicas especificadas
D699,"Afección hemorrágica, no especificada"
D70X,Agranulocitosis
D71X,Trastornos funcionales de los polimorfonucleares neutrófilos
D721,Eosinofilia
D728,Otros trastornos especificados de los leucocitos
D729,"Trastorno de los leucocitos, no especificado"
D731,Hiperesplenismo
D732,Esplenomegalia congestiva crónica
D733,Absceso del bazo
D735,Infarto del bazo
D738,Otras enfermedades del bazo
D739,"Enfermedad del bazo, no especificada"
D751,Policitemia secundaria
D758,Otras enfermedades especificadas de la sangre y de los órganos hematopoyéticos
D759,"Enfermedad de la sangre y de los órganos hematopoyéticos, no especificada"
D761,Linfohistiocitosis hemofagocítica
D762,Síndrome hemofagocítico asociado a infección
D763,Otros síndromes histiocíticos
D800,Hipogammaglobulinemia hereditaria
D801,Hipogammaglobulinemia no familiar
D805,Inmunodeficiencia con incremento de inmunoglobulina M [IgM]
D818,Otras inmunodeficiencias combinadas
D819,"Inmunodeficiencia combinada, no especificada"
D820,Síndrome de Wiskott-Aldrich
D831,Inmunodeficiencia variable común con predominio de trastornos inmunorreguladores de los linfocitos T
D839,"Inmunodeficiencia variable común, no especificada"
D841,Defecto del sistema del complemento
D848,Otras inmunodeficiencias especificadas
D849,"Inmunodeficiencia, no especificada"
D868,Sarcoidosis de otros sitios especificados o de sitios combinados
D869,Sarcoidosis de sitio no especificado
D891,Crioglobulinemia
D892,"Hipergammaglobulinemia, no especificada"
D893,Síndrome de reconstitución inmune
D898,"Otros trastornos especificados que afectan el mecanismo de la inmunidad, no clasificados en otra parte"
D899,"Trastorno que afecta al mecanismo de la inmunidad, no especificado"
E009,"Síndrome congénito de deficiencia de yodo, no especificado"
E02X,Hipotiroidismo subclínico por deficiencia de yodo
E031,Hipotiroidismo congénito sin bocio
E033,Hipotiroidismo postinfeccioso
E035,Coma mixedematoso
E038,Otros hipotiroidismos especificados
E039,"Hipotiroidismo, no especificado"
E040,Bocio difuso no tóxico
E041,Nódulo tiroideo solitario no tóxico
E042,Bocio multinodular no tóxico
E049,"Bocio no tóxico, no especificado"
E050,Tirotoxicosis con bocio difuso
E051,Tirotoxicosis con nódulo solitario tiroideo tóxico
E052,Tirotoxicosis con bocio multinodular tóxico
E055,Crisis o tormenta tirotóxica
E058,Otras tirotoxicosis
E059,"Tirotoxicosis, no especificada"
E063,Tiroiditis autoinmune
E069,"Tiroiditis, no especificada"
E078,Otros trastornos especificados de la glándula tiroides
E079,"Trastorno de la glándula tiroides, no especificado"
E100,"Diabetes mellitus insulinodependiente, con coma"
E101,"Diabetes mellitus insulinodependiente, con cetoacidosis"
E102,"Diabetes mellitus insulinodependiente, con complicaciones renales"
E103,"Diabetes mellitus insulinodependiente, con complicaciones oftálmicas"
E104,"Diabetes mellitus insulinodependiente, con complicaciones neurológicas"
E105,"Diabetes mellitus insulinodependiente, con complicaciones circulatorias periféricas"
E106,"Diabetes mellitus insulinodependiente, con otras complicaciones especificadas"
E107,"Diabetes mellitus insulinodependiente, con complicaciones múltiples"
E108,"Diabetes mellitus insulinodependiente, con complicaciones no especificadas"
E109,"Diabetes mellitus insulinodependiente, sin mención de complicación"
E110,"Diabetes mellitus no insulinodependiente, con coma"
E111,"Diabetes mellitus no insulinodependiente, con cetoacidosis"
E112,"Diabetes mellitus no insulinodependiente, con complicaciones renales"
E113,"Diabetes mellitus no insulinodependiente, con complicaciones oftálmicas"
E114,"Diabetes mellitus no insulinodependiente, con complicaciones neurológicas"
E115,"Diabetes mellitus no insulinodependiente, con complicaciones circulatorias periféricas"
E116,"Diabetes mellitus no insulinodependiente, con otras complicaciones especificadas"
E117,"Diabetes mellitus no insulinodependiente, con complicaciones múltiples"
E118,"Diabetes mellitus no insulinodependiente, con complicaciones no especificadas"
E119,"Diabetes mellitus no insulinodependiente, sin mención de complicación"
E120,"Diabetes mellitus asociada con desnutrición, con coma"
E121,"Diabetes mellitus asociada con desnutrición, con cetoacidosis"
E122,"Diabetes mellitus asociada con desnutrición, con complicaciones renales"
E124,"Diabetes mellitus asociada con desnutrición, con complicaciones neurológicas"
E125,"Diabetes mellitus asociada con desnutrición, con complicaciones circulatorias periféricas"
E126,"Diabetes mellitus asociada con desnutrición, con otras complicaciones especificadas"
E127,"Diabetes mellitus asociada con desnutrición, con complicaciones múltiples"
E128,"Diabetes mellitus asociada con desnutrición, con complicaciones no especificadas"
E129,"Diabetes mellitus asociada con desnutrición, sin mención de complicación"
E130,"Otras diabetes mellitus especificadas, con coma"
E131,"Otras Diabetes mellitus especificadas, con cetoacidosis"
E132,"Otras diabetes mellitus especificadas, con complicaciones renales"
E136,"Otras diabetes mellitus especificadas, con otras complicaciones especificadas"
E137,"Otras diabetes mellitus especificadas, con complicaciones múltiples"
E139,"Otras diabetes mellitus especificadas, sin mención de complicación"
E140,"Diabetes mellitus no especificada, con coma"
E141,"Diabetes mellitus no especificada, con cetoacidosis"
E142,"Diabetes mellitus no especificada, con complicaciones renales"
E143,"Diabetes mellitus no especificada, con complicaciones oftálmicas"
E144,"Diabetes mellitus no especificada, con complicaciones neurológicas"
E145,"Diabetes mellitus no especificada, con complicaciones circulatorias periféricas"
E146,"Diabetes mellitus no especificada, con otras complicaciones especificadas"
E147,"Diabetes mellitus no especificada, con complicaciones múltiples"
E148,"Diabetes mellitus no especificada, con complicaciones no especificadas"
E149,"Diabetes mellitus no especificada, sin mención de complicación"
E15X,Coma hipoglicémico no diabético
E160,"Hipoglicemia sin coma, inducida por drogas"
E161,Otras hipoglicemias
E162,"Hipoglicemia, no especificada"
E168,Otros trastornos especificados de la secreción interna del páncreas
E169,"Trastornos de la secreción interna del páncreas, sin otra especificación"
E201,Pseudohipoparatiroidismo
E209,"Hipoparatiroidismo, no especificado"
E210,Hiperparatiroidismo primario
E213,"Hiperparatiroidismo, sin otra especificación"
E215,"Trastorno de la glándula paratiroides, no especificado"
E220,Acromegalia y gigantismo hipofisario
E222,Síndrome de secreción inapropiada de hormona anitidiurética
E230,Hipopituitarismo
E232,Diabetes insípida
E233,"Disfunción hipotalámica, no clasificada en otra parte"
E236,Otros trastornos de la glándula hipófisis
E241,Síndrome de Nelson
E242,Síndrome de Cushing inducido por drogas
E248,Otros tipos de síndrome de Cushing
E249,"Síndrome de Cushing, no especificado"
E250,Trastornos adrenogenitales congénitos con deficiencia enzimática
E260,Hiperaldosteronismo primario
E268,Otros tipos de hiperaldosteronismo
E271,Insuficiencia corticosuprarrenal primaria
E272,Crisis addisoniana
E273,Insuficiencia corticosuprarrenal inducida por drogas
E274,Otras insuficiencias corticosuprarrenales y las no especificadas
E275,Hiperfunción de la médula suprarrenal
E278,Otros trastornos especificados de la glándula suprarrenal
E279,"Trastorno de la glándula suprarrenal, no especificado"
E310,Insuficiencia poliglandular autoinmune
E340,Síndrome carcinoide
E348,Otros trastornos endocrinos especificados
E349,"Trastorno endocrino, no especificado"
E40X,Kwashiorkor
E41X,Marasmo nutricional
E42X,Kwashiorkor marasmático
E43X,"Desnutrición proteicocalórica severa, no especificada"
E440,Desnutrición proteicocalórica moderada
E441,Desnutrición proteicocalórica leve
E45X,Retardo del desarrollo debido a desnutrición proteicocalórica
E46X,"Desnutrición proteicocalórica, no especificada"
E512,Encefalopatía de Wernicke
E52X,Deficiencia de niacina [pelagra]
E530,Deficiencia de riboflavina
E539,"Deficiencia de vitamina B, no especificada"
E559,"Deficiencia de vitamina D, no especificada"
E561,Deficiencia de vitamina K
E569,"Deficiencia de vitamina, no especificada"
E612,Deficiencia de magnesio
E615,Deficiencia de molibdeno
E631,Desequilibrio de los constituyentes en la dieta
E638,Otras deficiencias nutricionales especificadas
E639,"Deficiencia nutricional, no especificada"
E640,Secuelas de la desnutrición proteicocalórica
E649,Secuelas de la deficiencia nutricional no especificada
E660,Obesidad debida a exceso de calorías
E662,Obesidad extrema con hipoventilación alveolar
E668,Otros tipos de obesidad
E669,"Obesidad, no especificada"
E701,Otras hiperfenilalaninemias
E702,Trastornos del metabolismo de la tirosina
E703,Albinismo
E711,Otros trastornos del metabolismo de los aminoácidos de cadena ramificada
E713,Trastornos del metabolismo de los ácidos grasos
E720,Trastornos del transporte de los aminoácidos
E722,Trastornos del metabolismo del ciclo de la urea
E725,Trastornos del metabolismo de la glicina
E729,"Trastorno del metabolismo de los aminoácidos, no especificado"
E730,Deficiencia congénita de lactasa
E739,"Intolerancia a la lactosa, no especificada"
E740,Enfermedad del almacenamiento de glucógeno
E742,Trastorno del metabolismo de la galactosa
E750,Gangliosidosis GM2
E751,Otras gangliosidosis
E752,Otras esfingolipidosis
E753,"Esfingolipidosis, no especificada"
E754,Lipofuscinosis ceroide neuronal
E755,Otros trastornos del almacenamiento de lípidos
E756,"Trastorno del almacenamiento de lípidos, no especificado"
E760,Mucopolisacaridosis tipo I
E761,Mucopolisacaridosis tipo II
E762,Otras mucopolisacaridosis
E763,Mucopolisacaridosis no especificada
E770,Defectos en la modificación postraslacional de enzimas lisosomales
E778,Otros trastornos del metabolismo de las glucoproteínas
E780,Hipercolesterolemia pura
E781,Hipergliceridemia pura
E782,Hiperlipidemia mixta
E785,Hiperlipidemia no especificada
E788,Otros trastornos del metabolismo de las lipoproteínas
E789,"Trastorno del metabolismo de las lipoproteínas, no especificado"
E790,Hiperuricemia sin signos de artritis inflamatoria y enfermedad tofácea
E791,Síndrome de Lesch-Nyhan
E799,"Trastorno del metabolismo de las purinas y de las pirimidinas, no especificado"
E804,Síndrome de Gilbert
E806,Otros trastornos del metabolismo de la bilirrubina
E807,"Trastorno del metabolismo de la bilirrubina, no especificado"
E830,Trastornos del metabolismo del cobre
E831,Trastornos del metabolismo del hierro
E833,Trastornos del metabolismo del fósforo y fosfatasa
E834,Trastornos del metabolismo del magnesio
E835,Trastornos del metabolismo del calcio
E840,Fibrosis quística con manifestaciones pulmonares
E841,Fibrosis quística con manifestaciones intestinales
E848,Fibrosis quística con otras manifestaciones
E849,"Fibrosis quística, sin otra especificación"
E850,Amiloidosis heredofamiliar no neuropática
E854,Amiloidosis limitada a un órgano
E858,Otras amiloidosis
E859,"Amiloidosis, no especificada"
E86X,Depleción del volumen
E870,Hiperosmolaridad e hipernatremia
E871,Hiposmolaridad e hiponatremia
E872,Acidosis
E873,Alcalosis
E874,Trastornos mixtos del balance ácido-básico
E875,Hiperpotasemia
E876,Hipopotasmia
E877,Sobrecarga de líquidos
E878,"Otros trastornos del equilibrio de los electrólitos y de los líquidos, no clasificados en otra parte"
E880,"Trastornos del metabolismo de las proteínas plasmáticas, no clasificados en otra parte"
E881,"Lipodistrofia, no clasificada en otra parte"
E883,Síndrome de lisis tumoral
E888,Otros trastornos especificados del metabolismo
E889,"Trastorno metabólico, no especificado"
F011,Demencia vascular por infartos múltiples
F012,Demencia vascular subcortical
F013,"Demencia vascular mixta, cortical y subcortical"
F018,Otras demencia vasculares
F019,"Demencia vascular, no especificada"
F03X,"Demencia, no especificada"
F050,"Delirio no superpuesto a un cuadro de demencia, así descrito"
F058,Otros delirios
F059,"Delirio, no especificado"
F063,"Trastornos del humor [afectivos], orgánicos"
F067,Trastorno cognoscitivo leve
F068,Otros trastornos mentales especificados debidos a lesión y disfunción cerebral y a enfermedad física
F069,Trastorno mental no especificado debido a lesión y disfunción cerebral y a enfermedad física
F070,"Trastorno de la personalidad, orgánico"
F09X,"Trastorno mental orgánico o sintomático, no especificado"
F101,"Trastornos mentales y del comportamiento debidos al uso de alcohol, uso nocivo"
F102,"Trastornos mentales y del comportamiento debidos al uso de alcohol, síndrome de dependencia"
F103,"Trastornos mentales y del comportamiento debidos al uso de alcohol, estado de abstinencia"
F104,"Trastornos mentales y del comportamiento debidos al uso de alcohol, estado de abstinencia con delirio"
F106,"Trastornos mentales y del comportamiento debidos al uso de alcohol, síndrome amnésico"
F107,"Trastornos mentales y del comportamiento debidos al uso de alcohol, trastorno psicótico residual y de comienzo tardío"
F109,"Trastornos mentales y del comportamiento debidos al uso de alcohol, trastorno mental y del comportamiento, no especificado"
F112,"Trastornos mentales y del comportamiento debidos al uso de opiáceos, síndrome de dependencia"
F113,"Trastornos mentales y del comportamiento debidos al uso de opiáceos, estado de abstinencia"
F122,"Trastornos mentales y del comportamiento debidos al uso de cannabinoides, síndrome de dependencia"
F132,"Trastornos mentales y del comportamiento debidos al uso de sedantes o hipnóticos, síndrome de dependencia"
F135,"Trastornos mentales y del comportamiento debidos al uso de sedantes o hipnóticos, trastorno psicótico"
F139,"Trastornos mentales y del comportamiento debidos al uso de sedantes o hipnóticos, trastornos mental y del comportamiento, no especificados"
F141,"Trastornos mentales y del comportamiento debidos al uso de cocaína, uso nocivo"
F142,"Trastornos mentales y del comportamiento debidos al uso de cocaína, síndrome de dependencia"
F149,"Trastornos mentales y del comportamiento debidos al uso de cocaína, trastorno mental y del comportamiento, no especificado"
F151,"Trastornos mentales y del comportamiento debidos al uso de otros estimulantes, incluida la cafeína, uso nocivo"
F152,"Trastornos mentales y del comportamiento  debidos al uso de otros estimulantes, incluida la cafeína, síndrome de dependencia"
F153,"Trastornos mentales y del comportamiento  debidos al uso de otros estimulantes, incluida la cafeína, estado de abstinencia"
F167,"Trastornos mentales y del comportamiento debidos al uso de alucinógenos, trastorno psicótico residual y de comienzo tardío"
F172,"Trastornos mentales y del comportamiento debidos al uso de tabaco, síndrome de dependencia"
F181,"Trastornos mentales y del comportamiento debidos al uso de disolventes volátiles, uso nocivo"
F182,"Trastornos mentales y del comportamiento debidos al uso de disolventes volátiles, síndrome de dependencia"
F189,"Trastornos mentales y del comportamiento debidos al uso de disolventes volátiles, trastorno mental y del comportamiento, no especificado"
F191,"Trastornos mentales y del comportamiento debidos al uso de múltiples drogas y al uso de otras sustancias  psicoactivas, uso nocivo"
F192,"Trastornos mentales y del comportamiento debidos al uso de múltiples drogas y al uso de otras sustancias psicoactivas, síndrome de dependencia"
F193,"Trastornos mentales y del comportamiento debidos al uso de múltiples drogas y al uso de otras sustancias psicoactivas, estado de abstinencia"
F195,"Trastornos mentales y del comportamiento debidos al uso de múltiples drogas y al uso de otras sustancias psicoactivas, trastorno psicótico"
F199,"Trastornos mentales y del comportamiento debidos al uso de múltiples drogas y al uso de otras sustancias psicoactivas, trastorno mental y del comportamiento, no especificado"
F200,Esquizofrenia paranoide
F202,Esquizofrenia catatónica
F204,Depresión postesquizofrénica
F205,Esquizofrenia residual
F208,Otras esquizofrenias
F209,"Esquizofrenia, no especificada"
F239,"Trastorno psicótico agudo y transitorio, no especificado"
F29X,"Psicosis de origen no orgánico, no especificada"
F308,Otros episodios maníacos
F319,"Trastorno afectivo bipolar, no especificado"
F322,Episodio depresivo grave sin síntomas psicóticos
F323,Episodio depresivo grave con síntomas psicóticos
F328,Otros episodios depresivos
F329,"Episodio depresivo, no especificado"
F341,Distimia
F410,Trastorno de pánico [ansiedad paroxística episódica]
F411,Trastorno de ansiedad generalizada
F412,Trastorno mixto de ansiedad y depresión
F419,"Trastorno de ansiedad, no especificado"
F432,Trastornos de adaptación
F439,"Reacción al estrés grave, no especificada"
F444,Trastornos disociativos del movimiento
F445,Convulsiones disociativas
F448,Otros trastornos disociativos [de conversión]
F449,"Trastorno disociativo [de conversión], no especificado"
F488,Otros trastornos neuróticos especificados
F489,"Trastorno neurótico, no especificado"
F500,Anorexia nerviosa
F502,Bulimia nerviosa
F508,Otros trastornos de la ingestión de alimentos
F509,"Trastorno de la ingestión de alimentos, no especificado"
F54X,Factores psicológicos y del comportamiento asociados con trastornos o enfermedades clasificados en otra parte
F55X,Abuso de sustancias que no producen dependencia
F609,"Trastorno de la personalidad, no especificado"
F719,"Retraso mental moderado, deterioro del comportamiento de grado no especificado"
F729,"Retraso mental grave, deterioro del comportamiento de grado no especificado"
F739,"Retraso mental profundo, deterioro del comportamiento de grado no especificado"
F790,"Retraso mental, no especificado, deterioro del comportamiento nulo o mínimo"
F799,"Retraso mental, no especificado, deterioro del comportamiento de grado no especificado"
F819,"Trastorno del desarrollo de las habilidades escolares, no especificado"
F82X,Trastorno específico del desarrollo de la función motriz
F83X,Trastornos específicos mixtos del desarrollo
F840,Autismo en la niñez
F841,Autismo atípico
F842,Síndrome de Rett
F849,Trastorno generalizado del desarrollo no especificado
F89X,"Trastorno del desarrollo psicológico, no especificado"
F99X,"Trastorno mental, no especificado"
G001,Meningitis  neumocócica
G002,Meningitis estreptocócica
G008,Otras meningitis bacterianas
G009,"Meningitis bacteriana, no especificada"
G030,Meningitis apiógena
G031,Meningitis crónica
G038,Meningitis debidas a otras causas especificadas
G039,"Meningitis, no especificada"
G040,Encefalitis aguda diseminada
G042,"Meningoencefalitis y meningomielitis bacterianas, no clasificadas en otra parte"
G048,"Otras encefalitis, mielitis y encefalomielitis"
G049,"Encefalitis, mielitis y encefalomielitis, no especificadas"
G060,Absceso y granuloma intracraneal
G062,"Absceso extradural y subdural, no especificado"
G08X,Flebitis y tromboflebitis intracraneal e intrarraquídea
G09X,Secuelas de enfermedades inflamatorias del sistema nervioso central
G10X,Enfermedad de Huntington
G110,Ataxia congénita no progresiva
G111,Ataxia cerebelosa de iniciación temprana
G112,Ataxia cerebelosa de iniciación tardía
G113,Ataxia cerebelosa con reparación defectuosa del ADN
G114,Paraplejía espástica hereditaria
G118,Otras ataxias hereditarias
G119,"Ataxia hereditaria, no especificada"
G120,"Atrofia muscular espinal infantil, tipo I (Werdnig-Hoffman)"
G121,Otras atrofias musculares espinales hereditarias
G122,Enfermedades de las neuronas motoras
G129,"Atrofia muscular espinal, sin otra especificación"
G14X,Síndrome postpolio
G20X,Enfermedad de Parkinson
G210,Síndrome neuroléptico maligno
G214,Parkinsonismo vascular
G219,"Parkinsonismo secundario, no especificado"
G231,Oftalmoplejía supranuclear progresiva (Steele-Richardson-Olszewski)
G232,"Atrofia sistémica múltipole, tipo parkinsoniana [AMS-P]"
G233,Atrofia multisistémica tipo cerebelosa [AMS-C]
G238,Otras enfermedades degenerativas específicas de los núcleos de la base
G239,"Enfermedad degenerativa de los núcleos de la base, no especificada"
G248,Otras distonías
G249,"Distonía, no especificada"
G250,Temblor esencial
G255,Otras coreas
G300,Enfermedad de Alzheimer de comienzo temprano
G301,Enfermedad de Alzheimer de comienzo tardío
G308,Otros tipos de enfermedad de Alzheimer
G309,"Enfermedad de Alzheimer, no especificada"
G310,Atrofia cerebral circunscrita
G311,Degeneración cerebral senil no clasificada en otra parte
G312,Degeneración del sistema nervioso debida al alcohol
G318,Otras enfermedades degenerativas especificadas del sistema nervioso
G319,"Degeneración del sistema nervioso, no especificada"
G35X,Esclerosis múltiple
G360,Neuromielitis óptica (Devic)
G369,"Desmielinización diseminada aguda, sin otra especificación"
G370,Esclerosis difusa
G371,Desmielinización central del cuerpo calloso
G372,Mielinólisis central pontina
G373,Mielitis transversa aguda en enfermedad desmielinizante del sistema nervioso central
G378,"Otras enfermedades desmielinizantes del sistema nervioso central, especificadas"
G379,"Enfermedad desmielinizante del sistema nervioso central, no especificada"
G400,Epilepsia y síndromes epilépticos idiopáticos relacionados con localizaciones (focales)(parciales) y con ataques de inicio localizado
G401,Epilepsia y síndromes epilépticos sintomáticos relacionados con localizaciones (focales)(parciales) y con ataques parciales simples
G402,Epilepsia y síndromes epilépticos sintomáticos relacionados con localizaciones (focales)(parciales) y con ataques parciales complejos
G403,Epilepsia y síndromes epilépticos idiopáticos generalizados
G404,Otras epilepsias y síndromes epilépticos generalizados
G405,Síndromes epilépticos especiales
G406,"Ataques de gran mal, no especificados (con o sin pequeño mal)"
G408,Otras epilepsias
G409,"Epilepsia, tipo no especificado"
G410,Estado de gran mal epiléptico
G411,Estado de pequeño mal epiléptico
G412,Estado de mal epiléptico parcial complejo
G418,Otros estados epilépticos
G419,Estado de mal epiléptico de tipo no especificado
G439,"Migraña, no especificada"
G458,Otras isquemias cerebrales transitorias y síndromes afines
G459,"Isquemia cerebral transitoria, sin otra especificación"
G473,Apnea del sueño
G500,Neuralgia del trigémino
G510,Parálisis de Bell
G523,Trastornos del nervio hipogloso
G549,"Trastorno de la raíz y plexos nerviosos, no especificado"
G570,Lesión del nervio ciático
G600,Neuropatía hereditaria motora y sensorial
G603,Neuropatía progresiva idiopática
G609,"Neuropatía hereditaria e idiopática, sin otra especificación"
G610,Síndrome de Guillain-Barré
G618,Otras polineuropatías inflamatorias
G619,"Polineuropatía inflamatoria, no especificada"
G621,Polineuropatía alcohólica
G628,Otras polineuropatías especificadas
G629,"Polineuropatía, no especificada"
G700,Miastenia gravis
G702,Miastenia congénita o del desarrollo
G709,"Trastorno neuromuscular, no especificado"
G710,Distrofia muscular
G711,Trastornos miotónicos
G712,Miopatías congénitas
G713,"Miopatía mitocóndrica, no clasificada en otra parte"
G718,Otros trastornos primarios de los músculos
G721,Miopatía alcohólica
G723,Parálisis periódica
G724,"Miopatía inflamatoria, no clasificada en otra parte"
G728,Otras miopatías especificadas
G729,"Miopatía, no especificada"
G800,Parálisis cerebral espástica cuadripléjica
G801,Parálisis cerebral espástica dipléjica
G802,Parálisis cerebral espástica hemipléjica
G803,Parálisis cerebral discinética
G804,Parálisis cerebral atáxica
G808,Otros tipos de parálisis cerebral
G809,"Parálisis cerebral, sin otra especificación"
G810,Hemiplejía flácida
G811,Hemiplejía espástica
G819,"Hemiplejía, no especificada"
G820,Paraplejía flácida
G821,Paraplejía espástica
G822,"Paraplejía, no especificada"
G824,Cuadriplejía espástica
G825,"Cuadriplejía, no especificada"
G838,Otros síndromes paralíticos especificados
G839,"Síndrome paralítico, no especificado"
G900,Neuropatía autónoma periférica idiopática
G904,Disreflexia autonómica
G908,Otros Trastornos del sistema nervioso autónomo
G909,"Trastorno del sistema nervioso autónomo, no especificado"
G910,Hidrocéfalo comunicante
G911,Hidrocéfalo obstructivo
G912,Hidrocéfalo de presión normal
G913,"Hidrocéfalo postraumático, sin otra especificación"
G918,Otros tipos de hidrocéfalo
G919,"Hidrocéfalo, no especificado"
G92X,Encefalopatía tóxica
G930,Quiste cerebral
G931,"Lesión cerebral anóxica, no clasificada en otra parte"
G932,Hipertensión intracraneal benigna
G933,Síndrome de fatiga postviral
G934,Encefalopatía no especificada
G935,Compresión del encéfalo
G936,Edema cerebral
G938,Otros Trastornos especificados del encéfalo
G939,"Trastorno del encéfalo, no especificado"
G950,Siringomielia y siringobulbia
G951,Mielopatías vasculares
G952,"Compresión medular, no especificada"
G958,Otras enfermedades especificadas de la médula espinal
G959,"Enfermedad de la médula espinal, no especificada"
G960,Pérdida de líquido cefalorraquídeo
G968,Otros trastornos especificados del sistema nervioso central
G969,"Trastorno del sistema nervioso central, no especificado"
G98X,"Otros trastornos del sistema nervioso, no clasificados en otra parte"
H010,Blefaritis
H050,Inflamación aguda de la órbita
H052,Afecciones exoftálmicas
H401,Glaucoma primario de ángulo abierto
H402,Glaucoma primario de ángulo cerrado
H409,"Glaucoma, no especificado"
H440,Endoftalmitis purulenta
H441,Otras endoftalmitis
H540,Ceguera binocular
H578,Otros trastornos especificados del ojo y sus anexos
H602,Otitis externa maligna
H650,Otitis media aguda serosa
H651,"Otra otitis media aguda, no supurativa"
H652,Otitis media crónica serosa
H660,Otitis media supurativa aguda
H663,Otras otitis medias crónicas supurativas
H664,"Otitis media supurativa, sin otra especificación"
H669,"Otitis media, no especificada"
H700,Mastoiditis aguda
H708,Otras mastoiditis y afecciones relacionadas
H709,"Mastoiditis, no especificada"
H71X,Colesteatoma del oído medio
H813,Otros vértigos periféricos
I00X,Fiebre reumática sin mención de complicación cardíaca
I010,Pericarditis reumática aguda
I011,Endocarditis reumática aguda
I012,Miocarditis reumática aguda
I018,Otras enfermedades reumáticas agudas del corazón
I019,"Enfermedad reumática aguda del corazón, no especificada"
I029,Corea reumática sin mención de complicación cardíaca
I050,Estenosis mitral
I051,Insuficiencia mitral reumática
I052,Estenosis mitral con insuficiencia
I058,Otras enfermedades de la válvula mitral
I059,"Enfermedad valvular mitral, no especificada"
I060,Estenosis aórtica reumática
I061,Insuficiencia aórtica reumática
I062,Estenosis aórtica reumática con insuficiencia
I069,"Enfermedad valvular aórtica reumática, no especificada"
I070,Estenosis tricúspide
I071,Insuficiencia tricúspide
I072,Estenosis e insuficiencia tricúspide
I078,Otras enfermedades de la válvula tricúspide
I079,"Enfermedad de la válvula tricúspide, no especificada"
I080,Trastornos de las válvulas mitral y aórtica
I081,Trastornos de las válvulas mitral y tricúspide
I082,Trastornos de las válvulas aórtica y tricúspide
I083,"Trastornos combinados de las válvulas mitral, tricúspide y aórtica"
I088,Otras enfermedades de múltiples válvulas
I089,"Enfermedad de múltiples válvulas, no especificada"
I090,Miocarditis reumática
I091,"Enfermedades reumáticas del endocardio, válvula no especificada"
I098,Otras enfermedades reumáticas especificadas del corazón
I099,"Enfermedad reumática del corazón, no especificada"
I10X,Hipertensión esencial (primaria)
I110,Enfermedad cardíaca hipertensiva con insuficiencia cardíaca (congestiva)
I119,Enfermedad cardíaca hipertensiva sin insuficiencia cardíaca (congestiva)
I120,Enfermedad renal hipertensiva con insuficiencia renal
I129,Enfermedad renal hipertensiva sin insuficiencia renal
I130,Enfermedad cardiorrenal hipertensiva con insuficiencia cardíaca (congestiva)
I131,Enfermedad cardiorrenal hipertensiva con insuficiencia renal
I132,Enfermedad cardiorrenal hipertensiva con insuficiencia cardíaca (congestivas) e insuficiencia renal
I139,"Enfermedad cardiorrenal hipertensiva, no especificada"
I150,Hipertensión renovascular
I158,Otros tipos de hipertensión secundaria
I159,"Hipertensión secundaria, no especificada"
I200,Angina inestable
I201,Angina de pecho con espasmo documentado
I209,"Angina de pecho, no especificada"
I210,Infarto transmural agudo del miocardio de la pared anterior
I211,Infarto transmural agudo del miocardio de la pared inferior
I212,Infarto agudo transmural del miocardio de otros sitios
I213,"Infarto transmural agudo del miocardio, de sitio no especificado"
I214,Infarto subendocárdico agudo del miocardio
I219,"Infarto agudo del miocardio, sin otra especificación"
I220,Infarto subsecuente del miocardio de la pared anterior
I248,Otras formas de enfermedad isquémica aguda del corazón
I249,"Enfermedad isquémica aguda del corazón, no especificada"
I250,"Enfermedad cardiovascular aterosclerótica, así descrita"
I251,Enfermedad aterosclerótica del corazón
I253,Aneurisma cardíaco
I254,Aneurisma de arteria coronaria
I255,Cardiomiopatía isquémica
I256,Isquemia silente del miocardio
I258,Otras formas de enfermedad isquémica crónica del corazón
I259,"Enfermedad isquémica crónica del corazón, no especificada"
I260,Embolia pulmonar con mención de corazón pulmonar agudo
I269,Embolia pulmonar sin mención de corazón pulmonar agudo
I270,Hipertensión pulmonar primaria
I271,Enfermedad cifoscoliótica del corazón
I272,Otras hipertensiones pulmonares secundarias
I278,Otras enfermedades cardiopulmonares especificadas
I279,"Enfermedad pulmonar del corazón, no especificada"
I280,Fístula arteriovenosa de los vasos pulmonares
I281,Aneurisma de la arteria pulmonar
I288,Otras enfermedades especificadas de los vasos pulmonares
I289,"Enfermedad de los vasos pulmonares, no especificada"
